GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS,County_clean,county_clean,highway_count
48053,"Burnet County, Texas",44.9,77158,310500,19.8,0.2,3.1,0.1,76.9,71.3,1.2,2.3,28.7,89.2,2.3,8.0,48,53,burnet,,0.0
48055,"Caldwell County, Texas",38.2,68503,215600,50.9,0.8,4.4,0.1,43.7,35.6,4.1,2.4,16.4,80.3,3.2,13.9,48,55,caldwell,,0.0
48057,"Calhoun County, Texas",39.9,71870,150000,41.3,0.5,6.8,0.6,50.7,41.4,2.3,1.4,16.9,82.5,4.5,8.7,48,57,calhoun,,0.0
48059,"Callahan County, Texas",43.8,68455,144800,9.9,0.1,0.5,0.0,89.4,82.2,1.7,1.5,23.9,93.1,5.2,10.1,48,59,callahan,callahan,1.0
48061,"Cameron County, Texas",32.4,51334,120000,84.2,0.3,4.6,0.2,10.7,8.8,0.4,1.0,20.6,71.6,5.7,24.4,48,61,cameron,cameron,9.0
48063,"Camp County, Texas",38.7,55061,159900,26.0,0.0,0.7,0.0,73.3,53.4,14.1,2.5,19.7,84.1,5.8,22.4,48,63,camp,,0.0
48065,"Carson County, Texas",42.3,84583,140600,7.2,0.0,3.0,0.3,89.5,82.3,0.6,2.6,25.9,93.6,1.3,7.2,48,65,carson,,0.0
48067,"Cass County, Texas",43.8,54328,133500,4.1,0.0,1.0,0.0,94.9,74.8,16.7,1.6,17.6,87.3,6.0,17.3,48,67,cass,cass,1.0
48069,"Castro County, Texas",34.9,63485,94900,55.0,0.7,9.6,0.0,34.7,30.0,1.2,1.9,21.0,76.3,2.7,14.0,48,69,castro,,0.0
48071,"Chambers County, Texas",35.3,108114,289900,21.9,0.2,3.0,0.1,74.7,63.1,7.2,0.8,23.0,89.5,7.3,13.1,48,71,chambers,,0.0
48073,"Cherokee County, Texas",38.2,59830,160300,22.2,0.1,1.4,0.0,76.3,58.8,13.0,2.6,18.5,80.7,6.2,17.9,48,73,cherokee,,0.0
48075,"Childress County, Texas",33.6,60333,115100,26.6,0.0,7.4,0.0,66.0,54.1,6.7,2.7,11.5,83.9,0.5,9.8,48,75,childress,,0.0
48077,"Clay County, Texas",47.8,77355,161300,6.1,0.0,0.6,0.0,93.2,87.6,1.1,2.3,23.9,92.8,1.9,10.4,48,77,clay,clay,1.0
48079,"Cochran County, Texas",38.7,42137,57700,55.1,0.0,4.4,0.0,40.4,34.2,5.0,1.3,10.7,71.7,6.2,27.3,48,79,cochran,,0.0
48081,"Coke County, Texas",47.2,46431,112900,17.9,0.0,2.9,0.0,79.2,75.4,1.7,2.4,21.1,87.8,6.0,14.1,48,81,coke,,0.0
48083,"Coleman County, Texas",48.5,52364,91200,14.6,0.0,1.5,0.0,83.9,77.2,3.9,1.9,17.9,88.6,5.9,15.0,48,83,coleman,coleman,1.0
48085,"Collin County, Texas",37.3,117588,447600,10.8,0.7,4.3,0.2,84.0,51.3,10.6,1.5,54.9,94.5,4.1,6.3,48,85,collin,collin,3.0
48087,"Collingsworth County, Texas",38.1,60165,108400,27.0,0.0,5.6,0.0,67.4,53.8,7.9,10.6,26.0,75.4,1.2,26.2,48,87,collingsworth,,0.0
48089,"Colorado County, Texas",43.8,68554,194000,26.4,0.0,3.6,0.0,70.0,55.4,12.3,1.6,24.0,88.4,3.9,10.7,48,89,colorado,,0.0
